page,municipality,title,amount_text,source,status
area/tokyo/ota/seido/1617,ota,妊婦健康診査費用助成,"令和8年度 都公費負担額：1回目11,670円／2〜14回目 各5,460円／超音波検査5,300円／子宮頸がん検診3,400円（都内契約医療機関で受診票により公費負担・計14回）",東京都公費負担額(令和8年度)・都内一律,standard_tokyo
area/tokyo/bunkyo/seido/1619,bunkyo,妊婦健康診査費用助成,"令和8年度 都公費負担額：1回目11,670円／2〜14回目 各5,460円／超音波検査5,300円／子宮頸がん検診3,400円（都内契約医療機関で受診票により公費負担・計14回）",東京都公費負担額(令和8年度)・都内一律,standard_tokyo
area/tokyo/higashikurume/seido/1651,higashikurume,妊婦健康診査費用助成,"令和8年度 都公費負担額：1回目11,670円／2〜14回目 各5,460円／超音波検査5,300円／子宮頸がん検診3,400円（都内契約医療機関で受診票により公費負担・計14回）",東京都公費負担額(令和8年度)・都内一律,standard_tokyo
area/tokyo/tama/seido/1653,tama,妊婦健康診査費用助成,"令和8年度 都公費負担額：1回目11,670円／2〜14回目 各5,460円／超音波検査5,300円／子宮頸がん検診3,400円（都内契約医療機関で受診票により公費負担・計14回）",東京都公費負担額(令和8年度)・都内一律,standard_tokyo
area/tokyo/musashimurayama/seido/1652,musashimurayama,妊婦健康診査費用助成,"令和8年度 都公費負担額：1回目11,670円／2〜14回目 各5,460円／超音波検査5,300円／子宮頸がん検診3,400円（都内契約医療機関で受診票により公費負担・計14回）",東京都公費負担額(令和8年度)・都内一律,standard_tokyo
area/tokyo/minato/seido/101,minato,里帰り等により都外医療機関で受診した妊婦健康診査等の費用の一部助成,"令和8年度 都公費負担額：1回目11,670円／2〜14回目 各5,460円／超音波検査5,300円／子宮頸がん検診3,400円（都内契約医療機関で受診票により公費負担・計14回）",東京都公費負担額(令和8年度)・都内一律,standard_tokyo
area/tokyo/hachioji/seido/1632,hachioji,妊婦健康診査費用助成,"令和8年度 都公費負担額：1回目11,670円／2〜14回目 各5,460円／超音波検査5,300円／子宮頸がん検診3,400円（都内契約医療機関で受診票により公費負担・計14回）",東京都公費負担額(令和8年度)・都内一律,standard_tokyo
area/tokyo/shinjuku/seido/1614,shinjuku,妊婦健康診査費用助成,"令和8年度 都公費負担額：1回目11,670円／2〜14回目 各5,460円／超音波検査5,300円／子宮頸がん検診3,400円（都内契約医療機関で受診票により公費負担・計14回）",東京都公費負担額(令和8年度)・都内一律,standard_tokyo
area/tokyo/akishima/seido/1636,akishima,妊婦健康診査費用助成,"令和8年度 都公費負担額：1回目11,670円／2〜14回目 各5,460円／超音波検査5,300円／子宮頸がん検診3,400円（都内契約医療機関で受診票により公費負担・計14回）",東京都公費負担額(令和8年度)・都内一律,standard_tokyo
area/tokyo/arakawa/seido/1627,arakawa,妊婦健康診査費用助成,"令和8年度 都公費負担額：1回目11,670円／2〜14回目 各5,460円／超音波検査5,300円／子宮頸がん検診3,400円（都内契約医療機関で受診票により公費負担・計14回）",東京都公費負担額(令和8年度)・都内一律,standard_tokyo
area/tokyo/shibuya/seido/1612,shibuya,妊婦健康診査費用助成,"令和8年度 都公費負担額：1回目11,670円／2〜14回目 各5,460円／超音波検査5,300円／子宮頸がん検診3,400円（都内契約医療機関で受診票により公費負担・計14回）",東京都公費負担額(令和8年度)・都内一律,standard_tokyo
area/tokyo/tachikawa/seido/1633,tachikawa,妊婦健康診査費用助成,"令和8年度 都公費負担額：1回目11,670円／2〜14回目 各5,460円／超音波検査5,300円／子宮頸がん検診3,400円（都内契約医療機関で受診票により公費負担・計14回）",東京都公費負担額(令和8年度)・都内一律,standard_tokyo
