page,amount_text,status
area/tokyo/koganei/seido/1009,補装具費の1割負担／月額負担上限 生活保護・市民税非課税:0円／市民税所得割46万円未満:37 200円,ok
area/tokyo/koganei/seido/2770,住居確保給付金 上限 1人:53 700円／2人:64 000円／3人:69 800円（3か月）,ok
area/tokyo/koganei/seido/817,,no_amount
area/tokyo/katsushika/seido/2767,,no_amount
area/tokyo/katsushika/seido/585,前年の給与所得を100分の30に置き換えて保険料算定,ok
area/tokyo/katsushika/seido/550,無料（交通費・キャンセル料は自己負担）,ok
area/tokyo/katsushika/seido/310,特定疾病療養費 月額自己負担限度額10 000円,ok
area/tokyo/ota/seido/2356,,no_amount
area/tokyo/ota/seido/561,平日9時～17時 1時間800円／それ以外 1時間900円,ok
area/tokyo/ota/seido/592,給与所得を100分の30として算定,ok
area/tokyo/ota/seido/323,,no_amount
area/tokyo/ota/seido/94,,fetch_failed
area/tokyo/bunkyo/seido/2759,利用料:無料,ok
area/tokyo/bunkyo/seido/676,無料,ok
area/tokyo/bunkyo/seido/284,,no_amount
area/tokyo/bunkyo/seido/539,1時間あたり1 000円（住民税非課税・生活保護世帯は半額助成）,ok
area/tokyo/bunkyo/seido/451,上限10万円／回（生涯2回まで）,ok
area/tokyo/bunkyo/seido/664,,no_amount
area/tokyo/bunkyo/seido/385,,no_amount
area/tokyo/bunkyo/seido/584,給与所得を30／100として保険料算出,ok
area/tokyo/bunkyo/seido/745,補助率4分の3、上限30 000円,ok
area/tokyo/bunkyo/seido/2511,月350円（住民税非課税世帯は免除）,ok
area/tokyo/bunkyo/seido/723,,no_amount
area/tokyo/higashikurume/seido/1258,,no_amount
area/tokyo/higashikurume/seido/2528,,no_amount
area/tokyo/higashikurume/seido/1240,,no_amount
area/tokyo/higashikurume/seido/1238,,no_amount
area/tokyo/higashikurume/seido/1250,,no_amount
area/tokyo/higashikurume/seido/1242,,no_amount
area/tokyo/higashikurume/seido/1241,,no_amount
area/tokyo/higashikurume/seido/1257,,no_amount
area/tokyo/higashikurume/seido/1251,,no_amount
area/tokyo/higashikurume/seido/1239,,no_amount
area/tokyo/higashikurume/seido/1254,,no_amount
area/tokyo/tama/seido/840,新入学用品費 小1:57 060円／中1:63 000円／学用品費 小:11 630円・中:22 730円／通学用品費:2 270円,ok
area/tokyo/aogashima/seido/903,自己負担 給付基準額の1割,ok
area/tokyo/aogashima/seido/904,,fetch_failed
area/tokyo/musashimurayama/seido/1327,1時間当たり1 290円（早朝・夜間加算 最大300円／時）,ok
area/tokyo/musashimurayama/seido/1320,無料,ok
area/tokyo/musashimurayama/seido/2529,,no_amount
area/tokyo/musashimurayama/seido/1328,,no_amount
area/tokyo/musashimurayama/seido/838,新入学準備金 新小1:64 300円／新中1:81 000円,ok
area/tokyo/ome/seido/2933,,no_amount
area/tokyo/ome/seido/807,,no_amount
area/tokyo/okutama/seido/1442,,no_amount
area/tokyo/okutama/seido/2373,,no_amount
area/tokyo/okutama/seido/2720,,no_amount
area/tokyo/minato/seido/75,,no_amount
area/tokyo/minato/seido/108,,no_amount
area/tokyo/minato/seido/102,,no_amount
area/tokyo/minato/seido/106,,no_amount
area/tokyo/minato/seido/74,,no_amount
area/tokyo/minato/seido/70,,no_amount
area/tokyo/minato/seido/1939,"77歳(喜寿)10,000円／80歳(傘寿)15,000円／88歳(米寿)20,000円／90歳(卒寿)25,000円／99歳(白寿)30,000円",ok
area/tokyo/minato/seido/362,,no_amount
area/tokyo/akiruno/seido/845,"学用品費等 小1年13,230円/小2-6年15,500円/中1年25,040円/中2-3年27,310円／新入学学用品費 小57,060円・中63,000円／校外活動費(宿泊)上限 小3,690円・中6,210円",ok
area/tokyo/akiruno/seido/1413,,no_amount
area/tokyo/akiruno/seido/2180,"高校・高専・専修(高等課程)月額15,000円以内／大学・専修(専門課程)月額35,000円以内",ok
area/tokyo/hachioji/seido/2130,,no_amount
area/tokyo/hachioji/seido/2022,太陽光1万円/kW上限10万円／蓄電池3万円／太陽熱(自然循環式)1/2上限5万円・(強制循環式等)1/2上限10万円／木質ペレットストーブ1/2上限10万円,ok
area/tokyo/kodaira/seido/819,,no_amount
area/tokyo/kodaira/seido/2161,,no_amount
area/tokyo/kodaira/seido/1104,固定資産税の3分の1を減額(1戸100㎡相当分まで・翌年度1年分),ok
area/tokyo/kodaira/seido/1114,利用者負担は原則費用の1割(給付限度額は種目別),ok
area/tokyo/shinagawa/seido/2935,,no_amount
area/tokyo/shinagawa/seido/305,,no_amount
area/tokyo/shinagawa/seido/303,,no_amount
area/tokyo/shinagawa/seido/2761,,no_amount
area/tokyo/shinjuku/seido/2353,"新入学学用品費(入学前支給)91,600円",ok
area/tokyo/shinjuku/seido/743,購入・設置費用の2分の1、上限2万円,ok
area/tokyo/shinjuku/seido/352,,no_amount
area/tokyo/shinjuku/seido/597,前年の給与所得を100分の30(30%)として保険料を算定,ok
area/tokyo/shinjuku/seido/2925,,no_amount
area/tokyo/shinjuku/seido/386,"国民年金保険料 月額17,920円(令和8年度)／付加保険料 月額400円",ok
area/tokyo/akishima/seido/1061,翌年度分の固定資産税の3分の1を減額(1戸100㎡相当分まで・1年限り),ok
area/tokyo/akishima/seido/811,"学用品費 小1 11,630円/小2-6 22,730円/中1 10,630円/中2-3 22,730円／新入学学用品費 小64,300円・中81,000円／新入学準備金(小6)81,000円／アレルギー診断書料 上限4,500円",ok
area/tokyo/arakawa/seido/549,ヘルパー1人1時間300円／住民税非課税世帯150円/時間／生活保護世帯 無料,ok
area/tokyo/arakawa/seido/2765,,no_amount
area/tokyo/arakawa/seido/403,,no_amount
area/tokyo/arakawa/seido/3013,保証料(緊急連絡先引受契約料含む)限度額5万円／2年目以降の更新保証料 限度額5万円,ok
area/tokyo/arakawa/seido/622,前年の給与所得を30/100(30%)とみなして保険料を算定,ok
area/tokyo/arakawa/seido/2365,,no_amount
area/tokyo/arakawa/seido/2939,住居移転50万円／住宅増改築250万円／福祉用具170万円／障害者自動車250万円／介護障がいサービス170万円／就職支度50万円／生業460万円／自動車修理50万円,ok
area/tokyo/arakawa/seido/118,,no_amount
area/tokyo/arakawa/seido/2862,,no_amount
area/tokyo/arakawa/seido/623,前年の給与所得を30/100(30%)とみなして保険料を算定,ok
area/tokyo/taito/seido/2783,,no_amount
