page,municipality,title,amount_text,status,chunk
area/tokyo/koganei/seido/1006,koganei,小金井市養育費確保支援事業補助金,補助対象者一人当たり上限5万円（公正証書等作成経費または養育費保証契約締結経費のいずれか一区分につき）,found,H
area/tokyo/koganei/seido/1005,koganei,母子家庭及び父子家庭自立支援給付金,教育訓練給付金：受講料の60%（上限20万円）／専門実践教育訓練：最大85%（上限60万円×修業年数）／高等職業訓練促進給付金：課税状況により支給額が異なる,found,H
area/tokyo/koganei/seido/1012,koganei,障害者交通手当,月額2200円（重度等）／3級は月額1100円,found,H
area/tokyo/koganei/seido/2952,koganei,小金井市 難病者福祉手当,月額7000円,found,H
area/tokyo/koganei/seido/816,koganei,義務教育就学児医療費助成制度（マル子）,通院1回につき200円の自己負担／入院・調剤・訪問看護は自己負担なし,found,H
area/tokyo/koganei/seido/2730,koganei,小金井市 保育料等の第1子無償化・多子世帯軽減,認可・認証等の2歳以下第1子も保育料無償化（保育料0円）／区分別具体額の記載なし,found,H
area/tokyo/koganei/seido/1004,koganei,ひとり親家庭等医療費助成,医療保険の自己負担額から一部負担金を控除した額を助成（具体的金額の記載なし）,no_amount,H
area/tokyo/koganei/seido/1003,koganei,児童育成手当,育成手当：月額13500円（1人）／障害手当：月額25000円（1人）,found,H
area/tokyo/koganei/seido/2553,koganei,小金井市 敬老事業（100歳訪問・記念品贈呈）,元URLが404／現行の祝金・記念品金額を公式で確認できず,fetch_failed,H
area/tokyo/koganei/seido/1007,koganei,心身障害者医療費助成制度（マル障）,医療費（保険診療分）の自己負担額の一部を助成（具体的金額の記載なし）,no_amount,H
area/tokyo/katsushika/seido/138,katsushika,子どもの医療費助成,都内取扱医療機関で医療証提示時は自己負担なし,found,H
area/tokyo/katsushika/seido/190,katsushika,ひとり親家庭等医療費助成,課税世帯：通院1割・月上限18000円（年144000円）／入院1割・月上限57600円（多数回44400円）／非課税世帯：通院自己負担なし,found,H
area/tokyo/katsushika/seido/2974,katsushika,葛飾区 ベビーカー購入等費用助成事業,購入・レンタル費用の2分の1／対象児童1人当たり上限15000円,found,H
area/tokyo/katsushika/seido/2623,katsushika,葛飾区 住居確保給付金,支給額はPDF別掲で本ページに記載なし（世帯人数・家賃により変動）,no_amount,H
area/tokyo/ota/seido/538,ota,多胎児家庭移動経費助成事業,タクシー利用費用を対象期間（0歳・1歳・2歳）ごとに上限24000円,found,H
area/tokyo/ota/seido/515,ota,預かり保育料の補助,利用日数×450円（8月は1050円）（実支払額が少ない場合はその額）,found,H
area/tokyo/ota/seido/737,ota,感震ブレーカー支給・設置費用助成,補助基準額の4分の3／一括遮断型（工事あり）80000円・（工事なし）20000円・特定機器遮断型7000円,found,H
area/tokyo/ota/seido/370,ota,転入届（区外から大田区へ）,手続き案内ページで金額の対象外,no_amount,H
area/tokyo/ota/seido/731,ota,住まいの防犯対策補助金,防犯機器等の購入・設置費用の4分の3／補助上限30000円,found,H
area/tokyo/ota/seido/468,ota,認可外保育施設等保護者負担軽減補助金,認証・認可外：0～2歳80000円・3～5歳77000円／特定子ども子育て支援施設：0～2歳42000円・3～5歳37000円／ベビーシッター利用支援：33000円（いずれも月額上限）,found,H
area/tokyo/ota/seido/492,ota,幼児教育無償化に伴う保護者補助金,入園料上限130000円／授業料 旧制度月額上限40000円・新制度月額上限14300円／預かり保育 利用日数×450円（8月1050円）,found,H
area/tokyo/ota/seido/61,ota,児童医療費助成制度,保険診療の自己負担分等を助成（具体的金額の記載なし）,no_amount,H
area/tokyo/bunkyo/seido/562,bunkyo,子育て支援事業利用料等助成制度,半額助成：ファミサポ・おうち家事育児サポート／全額助成：病児病後児保育・一時保育（上限なし）／ベビーシッター利用料助成：児童1人年度4万円まで,found,H
area/tokyo/bunkyo/seido/474,bunkyo,認証保育所等保育料補助制度,補助基準額（月額）0～2歳クラス80000円／3～5歳クラス77000円（課税状況で施設負担・補助の内訳が異なる）,found,H
area/tokyo/bunkyo/seido/711,bunkyo,住居確保給付金,支給上限額（月額）単身53700円／2人世帯64000円／3人世帯69800円,found,H
area/tokyo/bunkyo/seido/169,bunkyo,ひとり親家庭等医療費助成,非課税世帯：自己負担3割を全額助成／課税世帯：自己負担3割の3分の2を助成／通院月18000円超・世帯57600円超（多数回44400円）・年144000円超は還付,found,H
area/tokyo/bunkyo/seido/426,bunkyo,小児慢性特定疾病医療費助成制度,患者負担割合2割／自己負担上限月額は世帯の課税額等に応じて決定,found,H
area/tokyo/bunkyo/seido/493,bunkyo,ベビーシッター利用料助成事業,7時～22時：1時間2500円／22時～翌7時：1時間3500円（年144時間・障害児等は288時間まで）,found,H
area/tokyo/bunkyo/seido/135,bunkyo,こども医療費助成,保険診療の自己負担分を区が負担（自己負担なし）,found,H
area/tokyo/bunkyo/seido/2847,bunkyo,文京区 長寿ふれあい食堂（高齢者食事サービス）,運営団体への経費補助で利用料・補助額の記載なし,no_amount,H
area/tokyo/higashikurume/seido/781,higashikurume,紙おむつ等の購入助成支給事業,対象要件のみ記載で助成金額の記載なし,no_amount,H
area/tokyo/higashikurume/seido/1249,higashikurume,ひとり親家庭等医療費助成制度（マル親）,課税世帯：総医療費の1割自己負担／通院月18000円超・世帯57600円超（4回目以降44400円）・年144000円超は払戻／非課税世帯：軽減,found,H
area/tokyo/higashikurume/seido/2141,higashikurume,東久留米市障害者グループホーム等支援事業（居室家賃助成）,都要領第9条の規定により算定した額を助成（具体的な月額上限の記載なし）,no_amount,H
area/tokyo/higashikurume/seido/1237,higashikurume,住居確保給付金事業（転居費用補助）,支給上限額は転居先自治体により異なり本ページに具体額の記載なし,no_amount,H
area/tokyo/higashikurume/seido/1243,higashikurume,ひとり親世帯等子育て生活支援給付金,児童育成手当対象児童1人当たり一律27000円,found,H
area/tokyo/higashikurume/seido/835,higashikurume,乳幼児医療費助成制度（マル乳）,各種医療保険の自己負担分を助成（具体的金額の記載なし）,no_amount,H
area/tokyo/higashikurume/seido/2854,higashikurume,東久留米市 雨水貯留浸透施設（ます）設置補助,設置状況により経費の全部または一部を補助（補助率・上限の記載なし／参考工事費単価300型26000円・250型23000円）,no_amount,H
area/tokyo/higashikurume/seido/2562,higashikurume,東久留米市 長寿のお祝い（記念品贈呈）,記念品を贈呈（金額の記載なし）,no_amount,H
area/tokyo/higashikurume/seido/1260,higashikurume,難病医療費の助成,健康保険内医療の自己負担分の一部または全額を助成（具体的金額の記載なし）,no_amount,H
area/tokyo/tama/seido/952,tama,ひとり親家庭等の医療費助成,課税世帯：保険診療医療費の1割自己負担／非課税世帯：自己負担なし,found,H
area/tokyo/tama/seido/955,tama,心身障害者医療費助成制度（マル障）,非課税：入院時の食事療養・生活療養標準負担額のみ／課税：1割自己負担（通院・入院時上限あり）,found,H
area/tokyo/aogashima/seido/880,aogashima,ひとり親家庭等医療費助成,例規ページが403で取得不可,fetch_failed,H
area/tokyo/aogashima/seido/794,aogashima,航空路運賃助成事業助成金,広報PDFを解読できず助成率・上限を確認不可,fetch_failed,H
area/tokyo/aogashima/seido/881,aogashima,高齢者肺炎球菌予防接種費助成,例規ページが403で取得不可,fetch_failed,H
area/tokyo/aogashima/seido/879,aogashima,高校生等医療費助成,例規ページが403で取得不可,fetch_failed,H
